,id,Speed,Flow,Density
413,-E28_0,8.66,3009.10752,96.52
414,-E28_1,11.74,2881.27776,68.17333333333333
415,-E31_0,15.16,1258.15872,23.05333333333333
416,-E32_0,12.64,2159.9232,47.46666666666667
417,-E32_1,12.45,1440.216,32.13333333333333
418,-E36_1,13.99,1237.61136,24.573333333333334
419,-E39_0,13.87,1440.0388799999996,28.839999999999996
420,-E39_1,13.44,1833.4310400000004,37.89333333333334
421,-E40_0,13.09,1068.7723200000003,22.680000000000003
422,E101_0,7.3,2348.0303999999996,89.34666666666666
423,E101_1,7.32,719.58528,27.30666666666667
424,E103_0,15.33,720.38736,13.053333333333333
425,E103_1,14.45,1478.0616,28.413333333333334
426,E104_0,12.85,720.4223999999999,15.573333333333332
427,E105_1,15.75,720.468,12.706666666666667
428,E108_0,1.3,796.7856000000002,170.25333333333336
429,E108_1,1.37,843.1089600000003,170.9466666666667
430,E109_0,14.23,1439.84832,28.106666666666666
431,E111_0,12.95,719.8127999999999,15.44
432,E112_1,13.58,719.63136,14.719999999999999
433,E114_0,12.4,720.192,16.133333333333333
434,E114_1,15.3,720.4464000000002,13.080000000000002
435,E117_0,14.72,719.98464,13.586666666666666
436,E117_1,11.63,1440.2592,34.4
437,E118_0,13.75,819.72,16.56
438,E119_1,16.5,719.9280000000001,12.120000000000001
439,E13_0,13.36,2180.352,45.333333333333336
440,E13_1,12.91,2160.2044800000003,46.480000000000004
441,E17_0,15.31,720.1824,13.066666666666666
442,E18_0,12.29,2159.1072,48.8
443,E18_1,15.91,1906.9089599999998,33.29333333333333
444,E26_0,13.03,719.88144,15.346666666666666
445,E34_0,13.67,1440.2712000000001,29.266666666666666
446,E37_0,12.28,1280.85312,28.973333333333336
447,-E4_0,13.28,499.75296000000003,10.453333333333335
448,-E7_0,12.44,1440.25344,32.160000000000004
449,-E7_1,13.29,2758.3660800000002,57.653333333333336
450,-E12_0,13.55,2414.9352,49.50666666666667
451,-E12_1,14.31,2879.4009600000004,55.89333333333334
452,-E15_0,14.07,956.9851199999998,18.89333333333333
453,-E19_0,14.05,720.2592000000001,14.24
454,-E19_1,15.76,720.1689599999999,12.693333333333332
455,-E23_0,14.41,1501.6372800000001,28.94666666666667
456,-E23_1,16.72,719.8963200000001,11.96
457,-E28_0,14.27,719.8929599999999,14.013333333333332
458,-E28_1,13.24,720.0441599999999,15.106666666666666
459,-E31_0,12.05,1731.7296000000003,39.92
460,-E31_1,13.84,905.4681600000001,18.173333333333336
461,-E32_0,15.29,719.9755200000001,13.080000000000002
462,-E35_0,14.41,720.03888,13.879999999999999
463,-E36_0,13.43,1884.92736,38.986666666666665
464,-E36_1,13.35,3105.3168,64.61333333333333
465,-E39_1,12.62,2510.26944,55.25333333333333
466,-E40_1,14.12,1295.87712,25.493333333333336
467,E101_0,1.06,500.35392,131.12
468,E103_1,11.45,689.748,16.733333333333334
469,E105_0,13.18,719.9443200000001,15.173333333333336
470,E107_1,15.35,719.8535999999999,13.026666666666666
471,E108_0,8.29,1942.24752,65.08
472,E108_1,10.52,2661.1392,70.26666666666667
473,E111_0,12.07,720.1444800000002,16.573333333333334
474,E112_0,14.77,1439.8977599999998,27.08
475,E112_1,13.75,720.06,14.546666666666665
476,E113_1,15.07,434.7393599999999,8.013333333333332
477,E114_0,13.39,720.4891200000001,14.946666666666667
478,E118_0,14.27,616.464,12.0
479,E118_1,14.58,720.13536,13.719999999999999
480,E119_0,12.54,1440.39456,31.90666666666667
481,E119_1,14.8,1013.0304,19.013333333333332
482,E120_0,13.83,719.6025600000002,14.453333333333335
483,E5_0,14.45,719.9568000000002,13.840000000000002
484,E9_0,13.54,2880.4454399999995,59.093333333333334
485,E9_1,12.06,2406.40416,55.42666666666666
486,E13_0,13.64,2137.6608,43.53333333333333
487,E13_1,12.81,2880.0979200000006,62.45333333333334
488,E14_0,14.01,720.22608,14.280000000000001
489,E14_1,14.13,720.2908799999999,14.159999999999998
490,E18_1,11.02,1116.6345599999997,28.146666666666665
491,E19_1,13.27,3601.3718400000002,75.38666666666667
492,E34_0,12.95,720.4344,15.453333333333335
